Team,Player,Cleaned_Name
Atlanta Hawks,Nell Joseph,Nell_Joseph
Atlanta Hawks,Jake Stephens,Jake_Stephens
Boston Celtics,Aaron Scott,Aaron_Scott
Boston Celtics,Zach Hicks,Zach_Hicks
Brooklyn Nets,D'Andre Davis,D'Andre_Davis
Chicago Bulls,Javon Freeman‑Liberty,Javon_FreemanLiberty
Dallas Mavericks,Obinna Anochili-Killen,Obinna_Anochili_Killen
Denver Nuggets,Boo Buie III,Boo_Buie_III
Denver Nuggets,Logan Johnson,Logan_Johnson
Denver Nuggets,Kaodirichi Akobundu-Ehiogu,Kaodirichi_Akobundu_Ehiogu
Denver Nuggets,Curtis Jones,Curtis_Jones
Golden State Warriors,Alex Higgins-Titsha,Alex_Higgins_Titsha
Golden State Warriors,Donta Scott,Donta_Scott
Golden State Warriors,Ja’Vier Francis,JaVier_Francis
Indiana Pacers,Josiah-Jordan James,Josiah_Jordan_James
Indiana Pacers,Robert Baker,Robert_Baker
Los Angeles Lakers,TY Johnson,TY_Johnson
Los Angeles Lakers,DaJuan Gordon,DaJuan_Gordon
Los Angeles Lakers,Ethan Taylor,Ethan_Taylor
Memphis Grizzlies,Tyler Burton,Tyler_Burton
Memphis Grizzlies,Bo Montgomery,Bo_Montgomery
Memphis Grizzlies,Ante Brzovich,Ante_Brzovich
Memphis Grizzlies,Jeremy Jones,Jeremy_Jones
Miami Heat,Marcus Williams,Marcus_Williams
Milwaukee Bucks,Cormac Ryan,Cormac_Ryan
Milwaukee Bucks,Jean-Jacques Boissy,Jean_Jacques_Boissy
New Orleans Pelicans,William Baker,William_Baker
New York Knicks,Devone Grant,Devone_Grant
Oklahoma City Thunder,Cameron Brown,Cameron_Brown
Oklahoma City Thunder,Ty Brewer,Ty_Brewer
Oklahoma City Thunder,Mady Sissoko,Mady_Sissoko
Philadelphia 76ers,Stefan Todorovic,Stefan_Todorovic
Philadelphia 76ers,Jack Clark,Jack_Clark
Philadelphia 76ers,Caleb Stone-Carrawell,Caleb_Stone_Carrawell
Phoenix Suns,Moses Wood,Moses_Wood
Portland Trail Blazers,Andrew Carr,Andrew_Carr
Sacramento Kings,Jabri Abdur-Rahim,Jabri_Abdur_Rahim
San Antonio Spurs,Ibrahima Diallo,Ibrahima_Diallo
San Antonio Spurs,Cam Carter,Cam_Carter
Toronto Raptors,Aniwaniwa Tait-Jones,Aniwaniwa_Tait_Jones
Washington Wizards,Jonathan Pierre,Jonathan_Pierre
